# water and pfoah on sio2 slab

374 atoms
5   atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa

Atoms

163    1      0      16.012  4.334   14.905 
164    1      0      15.598  3.54    16.27  
165    2      0      15.942  4.402   15.9   
166    1      0      5.012   0.069   21.711 
167    1      0      3.728   0.9     22.282 
168    2      0      4.056   0.0     21.998 
169    1      0      16.755  8.888   25.233 
170    1      0      15.927  9.707   24.088 
171    2      0      16.425  9.789   24.951 
172    1      0      13.498  9.156   25.777 
173    1      0      12.135  8.661   26.527 
174    2      0      12.546  8.882   25.643 
175    1      0      18.384  10.072  11.712 
176    1      0      17.816  8.904   12.701 
177    2      0      18.547  9.571   12.562 
178    1      0      5.492   7.636   22.625 
179    1      0      6.66    8.658   22.116 
180    2      0      5.84    8.572   22.681 
181    1      0      2.387   4.933   24.999 
182    1      0      3.301   6.226   25.4   
183    2      0      2.836   5.414   25.752 
184    1      0      3.623   2.362   15.25  
185    1      0      3.61    3.823   14.52  
186    2      0      3.397   3.33    15.363 
187    1      0      15.355  7.98    28.607 
188    1      0      15.898  6.699   27.753 
189    2      0      15.496  7.611   27.688 
190    1      0      4.424   0.026   15.263 
191    1      0      4.773   0.0     13.668 
192    2      0      4.149   0.359   14.361 
193    1      0      2.655   2.189   12.924 
194    1      0      1.251   2.53    12.164 
195    2      0      2.081   1.974   12.134 
196    1      0      13.066  -0.0    18.485 
197    1      0      12.156  -0.001  17.129 
198    2      0      12.132  0.003   18.128 
199    1      0      11.86   11.699  31.211 
200    1      0      12.872  12.933  30.864 
201    2      0      12.685  12.185  31.5   
202    1      0      5.772   1.989   20.949 
203    2      0      5.591   2.783   21.53  
204    1      0      11.559  2.692   19.162 
205    2      0      12.362  3.209   19.46  
206    1      0      13.375  0.111   11.993 
207    2      0      12.512  0.0     11.5   
208    1      0      6.648   0.875   26.846 
209    2      0      5.991   1.599   26.636 
210    1      0      16.56   5.529   12.553 
211    2      0      16.751  5.869   11.632 
212    1      0      8.984   6.102   22.714 
213    2      0      8.676   5.387   23.341 
214    1      0      16.883  10.869  19.232 
215    2      0      17.201  11.205  20.119 
216    1      0      10.958  3.276   13.919 
217    2      0      11.833  3.163   13.446 
218    1      0      18.565  9.609   14.762 
219    2      0      18.99   10.509  14.866 
220    1      0      9.076   7.153   25.081 
221    2      0      9.927   7.232   24.562 
222    1      0      10.5    12.885  27.34  
223    2      0      9.636   12.536  26.976 
224    1      0      11.877  10.059  20.105 
225    2      0      12.522  9.301   20.205 
226    1      0      12.775  2.332   25.602 
227    2      0      12.51   1.371   25.684 
228    1      0      3.983   0.193   25.356 
229    2      0      4.946   0.0     25.546 
230    1      0      10.726  7.977   19.296 
231    2      0      11.025  7.057   19.042 
232    1      0      12.658  0.476   14.078 
233    2      0      13.403  1.13    13.941 
234    1      0      11.432  4.144   22.306 
235    2      0      10.607  4.589   22.653 
236    1      0      3.92    0.635   19.862 
237    2      0      3.561   0.009   19.17  
238    1      0      12.29   2.534   15.505 
239    2      0      11.682  2.091   16.165 
240    1      0      9.339   2.357   18.992 
241    2      0      8.479   1.865   19.125 
242    1      0      4.68    8.9     11.923 
