# water and pfoah on sio2 slab

374 atoms
5   atom types

Masses

1 1.0078       | H of water
2 15.9994      | O of water
3 12.011       | C of pfoah
4 15.9994      | O of pfoah
5 18.998403    | F of pfoah

Atoms

163    1      0      14.344  8.73    12.021 
164    1      0      15.466  7.664   11.5   
165    2      0      14.497  7.791   11.711 
166    1      0      3.012   3.422   14.974 
167    1      0      2.185   4.51    14.08  
168    2      0      2.136   3.621   14.534 
169    1      0      10.138  12.933  29.345 
170    1      0      9.115   11.846  28.682 
171    2      0      9.89    11.965  29.301 
172    1      0      15.255  2.769   28.333 
173    1      0      14.45   4.126   28.753 
174    2      0      15.315  3.764   28.406 
175    1      0      10.75   7.633   29.788 
176    1      0      11.163  6.058   29.909 
177    2      0      10.749  6.832   30.387 
178    1      0      7.194   7.552   20.03  
179    1      0      8.655   8.274   20.131 
180    2      0      8.175   7.398   20.149 
181    1      0      13.618  10.652  27.564 
182    1      0      14.177  9.822   28.854 
183    2      0      14.013  9.785   27.869 
184    1      0      8.868   1.595   18.96  
185    1      0      8.592   0.002   18.728 
186    2      0      9.279   0.683   18.977 
187    1      0      7.589   10.843  11.5   
188    1      0      5.995   11.198  11.5   
189    2      0      6.666   10.457  11.5   
190    1      0      1.867   2.766   21.415 
191    1      0      1.377   2.302   19.928 
192    2      0      1.68    3.076   20.482 
193    1      0      13.835  4.598   26.47  
194    1      0      12.261  4.617   26.035 
195    2      0      13.012  5.162   26.407 
196    1      0      7.481   11.53   26.238 
197    1      0      6.078   11.183  26.998 
198    2      0      6.652   11.919  26.64  
199    1      0      14.248  11.43   13.747 
200    1      0      15.383  11.478  14.921 
201    2      0      14.519  11.869  14.604 
202    1      0      5.916   5.066   26.478 
203    2      0      6.802   5.054   26.015 
204    1      0      6.444   8.573   26.564 
205    2      0      6.36    7.603   26.335 
206    1      0      12.951  0.887   15.053 
207    2      0      13.241  0.054   14.582 
208    1      0      5.4     3.178   20.574 
209    2      0      5.884   4.053   20.55  
210    1      0      11.684  12.488  14.468 
211    2      0      12.579  12.933  14.433 
212    1      0      10.366  12.933  17.125 
213    2      0      11.152  12.444  16.747 
214    1      0      12.573  8.334   17.996 
215    2      0      11.936  7.665   18.38  
216    1      0      15.241  9.865   21.568 
217    2      0      14.29   9.974   21.86  
218    1      0      5.752   11.872  16.014 
219    2      0      6.697   12.184  16.12  
220    1      0      12.897  7.062   27.764 
221    2      0      13.858  7.246   27.558 
222    1      0      16.303  6.492   14.623 
223    2      0      15.39   6.214   14.324 
224    1      0      13.495  5.05    11.588 
225    2      0      14.395  4.734   11.89  
226    1      0      13.614  12.135  19.155 
227    2      0      13.14   12.933  19.528 
228    1      0      11.14   8.753   20.117 
229    2      0      11.633  8.532   20.959 
230    1      0      7.356   2.103   20.767 
231    2      0      7.363   1.234   21.262 
232    1      0      3.968   7.877   26.827 
233    2      0      4.099   7.132   26.173 
234    1      0      3.257   5.488   20.456 
235    2      0      3.759   4.642   20.276 
236    1      0      14.256  6.942   25.416 
237    2      0      15.151  6.497   25.384 
238    1      0      5.138   10.067  23.18  
239    2      0      5.936   9.465   23.202 
240    1      0      14.909  12.933  21.969 
241    2      0      15.6    12.458  22.515 
242    1      0      4.021   8.308   15.364 
243    2      0      4.608   7.788   15.985 
244    1      0      13.032  6.599   13.577 
245    2      0      12.384  6.066   14.122 
246    1      0      9.245   7.61    23.12  
247    2      0      9.031   8.174   22.322 
248    1      0      8.82    10.398  19.581 
249    2      0      7.835   10.228  19.544 
250    1      0      6.17    6.756   22.542 
251    2      0      6.636   7.38    23.17  
252    1      0      11.547  9.56    26.711 
253    2      0      11.523  10.201  25.944 
254    1      0      14.767  12.431  30.007 
255    2      0      13.884  12.881  29.871 
256    1      0      9.165   9.75    24.8   
257    2      0      8.272   9.298   24.787 
258    1      0      16.732  10.152  12.688 
259    2      0      15.752  10.324  12.583 
260    1      0      9.485   2.916   28.348 
261    2      0      8.994   2.081   28.599 
262    1      0      4.566   5.635   24.56  
263    2      0      4.362   4.656   24.57  
264    1      0      9.441   8.96    14.402 
265    2      0      8.738   9.672   14.422 
266    1      0      5.479   9.625   16.825 
267    2      0      4.703   9.718   17.449 
268    1      0      4.022   0.0     29.471 
269    2      0      4.084   0.989   29.335 
270    1      0      13.325  5.85    29.555 
271    2      0      13.764  6.725   29.758 
272    1      0      6.158   9.533   30.349 
273    2      0      6.583   8.639   30.204 
274    1      0      10.163  1.062   23.594 
275    2      0      10.769  1.858   23.594 
276    1      0      2.516   0.426   23.966 
277    2      0      2.061   0.226   24.835 
278    1      0      6.389   4.596   23.717 
279    2      0      7.346   4.461   23.971 
280    1      0      17.769  9.99    27.655 
281    2      0      16.881  9.543   27.543 
282    1      0      11.009  1.092   12.69  
283    2      0      10.983  0.171   12.301 
284    1      0      7.382   2.662   26.733 
285    2      0      8.056   3.401   26.747 
286    1      0      1.156   0.111   21.647 
287    2      0      0.277   0.572   21.528 
288    1      0      16.402  5.14    30.315 
289    2      0      15.641  5.782   30.411 
290    1      0      3.643   1.14    15.24  
291    2      0      2.755   0.696   15.12  
292    1      0      9.479   10.783  26.791 
293    2      0      9.545   10.058  27.476 
294    1      0      11.318  6.863   22.657 
295    2      0      11.828  6.097   22.266 
296    1      0      16.772  6.709   17.81  
297    2      0      16.679  5.713   17.84  
298    1      0      16.077  10.756  23.824 
299    2      0      17.055  10.908  23.684 
300    1      0      6.09    9.658   20.764 
301    2      0      5.149   9.993   20.818 
302    1      0      10.511  2.0     20.953 
303    2      0      9.535   1.837   21.099 
304    1      0      8.057   2.491   24.646 
305    2      0      8.657   2.642   23.86  
306    1      0      2.597   5.326   16.083 
307    2      0      3.022   6.203   16.305 
308    1      0      11.981  0.207   29.858 
309    2      0      11.084  0.561   30.124 
310    1      0      6.622   11.323  14.066 
311    2      0      6.529   10.397  13.698 
312    1      0      10.893  11.733  23.59  
313    2      0      11.403  10.879  23.492 
314    1      0      8.75    1.34    31.5   
315    2      0      8.34    1.708   30.665 
316    1      0      7.061   11.127  29.008 
317    2      0      6.524   11.919  29.298 
318    1      0      14.699  3.917   31.499 
319    2      0      15.595  3.472   31.5   
320    1      0      8.126   8.953   17.621 
321    2      0      8.761   9.638   17.262 
322    1      0      13.135  8.456   24.117 
323    2      0      12.805  9.384   24.293 
324    1      0      7.963   5.177   31.456 
325    2      0      7.652   6.126   31.499 
326    1      0      8.946   12.771  23.509 
327    2      0      7.947   12.818  23.531 
328    1      0      8.385   1.148   16.529 
329    2      0      8.477   0.152   16.531 
330    1      0      16.358  12.218  28.066 
331    2      0      15.389  12.402  27.896 
332    1      0      12.746  1.893   28.664 
333    2      0      12.017  2.548   28.468 
334    1      0      15.968  12.932  12.804 
335    2      0      15.188  12.909  12.179 
336    1      0      6.454   2.48    31.495 
337    2      0      5.542   2.07    31.497 
338    1      0      11.291  6.389   12.241 
339    2      0      11.733  7.194   11.845 
340    1      0      8.805   12.933  20.127 
341    2      0      9.792   12.791  20.196 
342    1      0      5.923   2.984   29.42  
343    2      0      6.147   3.959   29.407 
344    1      0      15.451  3.525   25.22  
345    2      0      14.92   2.826   25.7   
346    1      0      3.281   5.637   22.773 
347    2      0      2.698   4.849   22.574 
348    1      0      12.64   6.744   16.475 
349    2      0      11.975  7.275   15.948 
350    3      0      6.883   6.266   12.085 
351    3      0      7.861   6.694   13.191 
352    4      0      7.093   4.966   11.699 
353    4      0      5.577   6.43    12.475 
354    5      0      9.145   6.569   12.689 
355    3      0      7.721   5.858   14.494 
356    5      0      7.631   8.031   13.463 
357    3      0      8.72    6.309   15.597 
358    5      0      7.947   4.524   14.198 
359    5      0      6.428   5.991   14.975 
360    5      0      10.012  6.178   15.112 
361    3      0      8.584   5.477   16.903 
362    5      0      8.493   7.645   15.889 
363    3      0      9.585   5.928   18.005 
364    5      0      8.811   4.14    16.612 
365    5      0      7.292   5.608   17.389 
366    5      0      10.877  5.795   17.524 
367    3      0      9.446   5.096   19.309 
368    5      0      9.359   7.263   18.3   
369    3      0      10.433  5.537   20.403 
370    5      0      9.679   3.757   19.036 
371    5      0      8.161   5.225   19.812 
372    5      0      11.74   5.388   19.973 
373    5      0      10.251  4.753   21.528 
374    5      0      10.22   6.859   20.752 
