# water and pfoah on sio2 slab

374 atoms
5   atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 15.9994      ! O of pfoa
5 18.998403    ! F of pfoa

Atoms

163    1      0      6.166   7.941   11.543 
164    1      0      6.95    6.509   11.496 
165    2      0      6.106   6.969   11.771 
166    1      0      19.008  12.471  31.266 
167    1      0      19.164  10.846  31.288 
168    2      0      18.513  11.603  31.233 
169    1      0      4.113   8.492   13.349 
170    1      0      5.374   9.445   12.939 
171    2      0      4.441   9.179   12.7   
172    1      0      3.355   4.926   24.461 
173    1      0      2.581   5.324   25.842 
174    2      0      2.46    5.085   24.88  
175    1      0      12.909  2.832   28.155 
176    1      0      13.184  2.616   29.75  
177    2      0      12.504  2.88    29.068 
178    1      0      12.154  0.0     19.544 
179    1      0      11.75   1.103   20.679 
180    2      0      11.44   0.628   19.855 
181    1      0      12.988  3.417   24.859 
182    1      0      11.438  3.165   24.409 
183    2      0      12.039  3.697   25.005 
184    1      0      9.602   9.959   22.372 
185    1      0      8.868   10.815  23.553 
186    2      0      8.858   10.595  22.578 
187    1      0      13.421  0.368   14.155 
188    1      0      13.957  0.092   15.673 
189    2      0      13.174  0.011   15.056 
190    1      0      2.781   5.632   20.26  
191    1      0      3.815   6.414   19.267 
192    2      0      2.904   6.01    19.342 
193    1      0      16.749  9.738   15.691 
194    1      0      17.209  9.867   14.13  
195    2      0      16.88   9.239   14.834 
196    1      0      7.585   0.0     18.608 
197    1      0      6.21    0.875   18.722 
198    2      0      7.054   0.744   18.202 
199    1      0      5.061   1.161   13.698 
200    1      0      6.027   -0.005  13.086 
201    2      0      6.009   0.874   13.561 
202    1      0      5.844   6.733   30.504 
203    2      0      5.874   6.822   31.5   
204    1      0      13.457  0.021   25.315 
205    2      0      13.011  0.096   24.423 
206    1      0      12.661  0.69    31.5   
207    2      0      12.126  0.932   30.69  
208    1      0      6.145   0.0     27.662 
209    2      0      6.193   0.453   28.553 
210    1      0      6.472   0.357   20.855 
211    2      0      6.146   0.624   21.762 
212    1      0      3.452   4.552   17.789 
213    2      0      3.359   3.563   17.905 
214    1      0      18.79   10.073  26.784 
215    2      0      19.167  10.985  26.948 
216    1      0      14.406  5.791   20.028 
217    2      0      13.622  6.005   19.445 
218    1      0      1.829   2.185   27.152 
219    2      0      0.896   1.852   27.287 
220    1      0      5.842   12.072  11.507 
221    2      0      6.351   12.933  11.5   
222    1      0      7.28    12.932  16.359 
223    2      0      7.49    11.975  16.156 
224    1      0      2.406   2.73    24.974 
225    2      0      1.508   3.116   25.184 
226    1      0      4.792   6.436   28.595 
227    2      0      4.601   5.455   28.595 
228    1      0      5.038   0.613   24.582 
229    2      0      4.142   0.168   24.59  
230    1      0      5.649   5.464   13.621 
231    2      0      4.96    5.229   14.307 
232    1      0      18.657  12.051  12.097 
233    2      0      19.389  12.731  12.129 
234    1      0      10.514  -0.0    22.127 
235    2      0      9.847   0.18    21.404 
236    1      0      9.104   0.065   15.919 
237    2      0      8.749   0.412   16.788 
238    1      0      10.353  5.247   31.5   
239    2      0      9.995   5.444   30.587 
240    1      0      12.578  12.933  27.302 
241    2      0      12.493  12.052  26.835 
242    1      0      5.539   -0.003  15.522 
243    2      0      5.357   -0.004  16.506 
244    1      0      12.993  9.671   27.519 
245    2      0      13.678  10.376  27.703 
246    1      0      11.643  12.302  16.72  
247    2      0      11.667  11.883  15.812 
248    1      0      16.589  8.556   27.58  
249    2      0      16.268  7.614   27.678 
250    1      0      10.828  7.964   26.058 
251    2      0      10.674  8.316   25.134 
252    1      0      17.256  6.909   16.911 
253    2      0      16.289  6.941   17.167 
254    1      0      4.758   4.655   26.133 
255    2      0      4.907   5.601   26.422 
256    1      0      1.801   3.719   19.445 
257    2      0      1.369   2.819   19.506 
258    1      0      4.205   8.403   17.137 
259    2      0      4.499   9.292   16.785 
260    1      0      6.293   3.161   18.03  
261    2      0      5.565   3.842   18.105 
262    1      0      6.848   3.311   20.426 
263    2      0      7.006   2.486   20.969 
264    1      0      4.694   1.54    27.058 
265    2      0      5.01    2.488   27.105 
266    1      0      0.0     0.0     28.067 
267    2      0      0.672   0.073   28.804 
268    1      0      6.595   10.495  26.018 
269    2      0      7.289   9.779   26.101 
270    1      0      10.695  2.139   22.611 
271    2      0      9.71    1.975   22.668 
272    1      0      8.415   -0.0    12.246 
273    2      0      9.277   0.427   11.971 
274    1      0      7.524   4.213   30.129 
275    2      0      6.733   4.799   29.95  
276    1      0      15.46   8.859   25.468 
277    2      0      14.555  9.17    25.759 
278    1      0      19.285  12.917  28.885 
279    2      0      20.174  12.933  28.427 
280    1      0      10.778  12.933  22.013 
281    2      0      10.515  11.979  22.159 
282    1      0      12.394  10.025  31.227 
283    2      0      11.786  10.77   31.5   
284    1      0      0.428   0.885   31.083 
285    2      0      0.0     0.0     30.897 
286    1      0      7.135   0.016   25.156 
287    2      0      6.896   0.785   25.749 
288    1      0      8.197   3.82    11.496 
289    2      0      8.949   3.16    11.491 
290    1      0      5.493   11.35   15.454 
291    2      0      5.684   10.391  15.244 
292    1      0      3.051   6.306   14.118 
293    2      0      3.301   6.768   14.97  
294    1      0      15.243  6.695   22.719 
295    2      0      15.955  7.232   23.171 
296    1      0      8.947   7.379   18.901 
297    2      0      8.646   8.237   18.484 
298    1      0      3.1     2.069   14.68  
299    2      0      3.237   1.774   15.626 
300    1      0      6.806   1.298   11.494 
301    2      0      6.825   2.171   11.982 
302    1      0      9.277   11.254  15.082 
303    2      0      8.912   10.323  15.08  
304    1      0      5.378   11.077  20.413 
305    2      0      5.799   11.983  20.458 
306    1      0      7.492   8.917   22.186 
307    2      0      8.138   8.205   22.464 
308    1      0      7.364   6.72    28.914 
309    2      0      7.358   7.672   28.609 
310    1      0      4.916   8.731   27.981 
311    2      0      5.104   9.681   28.231 
312    1      0      8.165   2.311   13.925 
313    2      0      8.248   1.317   14.0   
314    1      0      3.562   -0.0    12.582 
315    2      0      2.873   0.091   13.301 
316    1      0      14.98   2.201   28.548 
317    2      0      15.352  3.064   28.207 
318    1      0      1.722   0.23    19.532 
319    2      0      0.832   0.686   19.496 
320    1      0      8.419   2.053   24.788 
321    2      0      7.713   2.738   24.971 
322    1      0      4.118   1.46    18.292 
323    2      0      4.633   1.814   17.511 
324    1      0      14.485  2.219   15.433 
325    2      0      14.079  2.203   16.346 
326    1      0      14.315  1.624   11.5   
327    2      0      14.219  0.629   11.529 
328    1      0      12.968  0.584   17.576 
329    2      0      13.342  1.272   18.198 
330    1      0      5.919   11.978  18.262 
331    2      0      6.253   12.92   18.304 
332    1      0      2.138   -0.0    16.32  
333    2      0      2.783   0.173   17.064 
334    1      0      14.992  4.192   16.57  
335    2      0      15.884  4.123   16.122 
336    1      0      6.359   5.892   18.148 
337    2      0      6.354   6.892   18.112 
338    1      0      6.134   3.89    22.424 
339    2      0      5.986   2.996   22.848 
340    1      0      15.291  3.523   22.444 
341    2      0      14.305  3.482   22.281 
342    1      0      9.577   12.925  17.197 
343    2      0      8.858   12.933  17.893 
344    1      0      4.111   8.501   21.516 
345    2      0      4.602   9.177   22.067 
346    1      0      15.537  9.604   29.469 
347    2      0      14.668  9.144   29.287 
348    1      0      4.976   5.46    16.494 
349    2      0      4.972   6.459   16.449 
350    3      0      9.533   7.83    12.099 
351    3      0      9.755   6.601   12.997 
352    4      0      8.243   8.288   12.181 
353    4      0      10.407  8.843   12.405 
354    5      0      8.89    5.608   12.572 
355    3      0      9.524   6.892   14.506 
356    5      0      11.052  6.162   12.796 
357    3      0      9.755   5.635   15.393 
358    5      0      8.225   7.338   14.684 
359    5      0      10.394  7.893   14.908 
360    5      0      8.886   4.635   14.987 
361    3      0      9.526   5.921   16.904 
362    5      0      11.055  5.19    15.211 
363    3      0      9.755   4.663   17.79  
364    5      0      8.225   6.366   17.087 
365    5      0      10.395  6.921   17.311 
366    5      0      8.886   3.662   17.388 
367    3      0      9.526   4.95    19.299 
368    5      0      11.055  4.216   17.611 
369    3      0      9.752   3.71    20.181 
370    5      0      8.227   5.389   19.5   
371    5      0      10.395  5.943   19.723 
372    5      0      8.878   2.696   19.832 
373    5      0      9.53    4.043   21.505 
374    5      0      11.051  3.25    20.057 
