# water and pfoah on sio2 slab

1996 atoms
8    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa
7 22.989769    ! Na of ion
8 35.453       ! Cl of ion

Atoms

120       2         -0.4105    9.9780     5.0040     10.3530  
121       1          0.2528    5.1900     12.9940    19.8150  
122       1          0.2528    3.9860     13.8280    19.0920  
123       2         -0.4105    4.2430     13.3040    19.9030  
124       1          0.2528    5.6890     9.5310     10.1870  
125       1          0.2528    6.2210     11.0630    10.0000  
126       2         -0.4105    5.4110     10.4780    10.0260  
127       1          0.2528    -0.0000    8.2760     36.5800  
128       1          0.2528    -0.0000    6.7380     36.0300  
129       2         -0.4105    0.5740     7.4880     36.3550  
130       1          0.2528    17.4120    3.4650     49.6320  
131       1          0.2528    17.7480    3.9590     48.1130  
132       2         -0.4105    17.2200    3.3120     48.6630  
133       1          0.2528    1.8460     12.0700    40.2990  
134       1          0.2528    0.2990     11.6460    40.6080  
135       2         -0.4105    1.2570     11.4430    40.8090  
136       1          0.2528    8.2540     14.2830    45.6080  
137       1          0.2528    7.8060     13.3990    46.9060  
138       2         -0.4105    7.6970     13.5130    45.9190  
139       1          0.2528    14.3890    20.2830    26.7840  
140       1          0.2528    15.4960    19.3410    26.0400  
141       2         -0.4105    14.5370    19.4150    26.3090  
142       1          0.2528    8.8940     21.6210    16.8080  
143       1          0.2528    9.8970     20.4990    17.4420  
144       2         -0.4105    9.8490     21.3970    17.0060  
145       1          0.2528    16.6090    6.0540     47.2530  
146       1          0.2528    18.0060    6.5040     46.5370  
147       2         -0.4105    17.4220    6.6300     47.3380  
148       1          0.2528    10.9080    13.3930    42.1900  
149       1          0.2528    10.1020    13.8340    43.5400  
150       2         -0.4105    10.0120    13.4220    42.6340  
151       1          0.2528    7.0110     6.1890     33.6720  
152       1          0.2528    5.9540     5.6470     32.5520  
153       2         -0.4105    6.6950     5.3850     33.1690  
154       1          0.2528    5.1000     4.5860     50.0000  
155       1          0.2528    5.8880     3.1560     49.9720  
156       2         -0.4105    4.9890     3.5920     49.9800  
157       1          0.2528    16.7750    20.4240    49.6500  
158       1          0.2528    17.9950    19.3960    50.0000  
159       2         -0.4105    17.4350    19.7780    49.2650  
160       1          0.2528    18.2850    4.1490     24.8860  
161       1          0.2528    19.5920    3.6940     25.7540  
162       2         -0.4105    18.8260    4.3340     25.7070  
163       1          0.2528    9.0630     4.3430     47.2100  
164       1          0.2528    10.3340    3.4970     46.6320  
165       2         -0.4105    9.4150     3.4270     47.0170  
166       1          0.2528    18.6950    8.0620     25.4240  
167       1          0.2528    17.9820    7.8220     23.9740  
168       2         -0.4105    17.9790    7.5590     24.9390  
169       1          0.2528    11.8760    4.4350     25.0860  
170       1          0.2528    11.8070    5.9600     25.6670  
171       2         -0.4105    12.3180    5.3330     25.0800  
172       1          0.2528    12.8530    13.1500    23.9210  
173       1          0.2528    11.4090    12.4730    23.5720  
174       2         -0.4105    11.8640    13.2210    24.0530  
175       1          0.2528    14.6200    6.8520     24.9780  
176       1          0.2528    16.0590    6.1040     25.1670  
177       2         -0.4105    15.0680    5.9800     25.1740  
178       1          0.2528    2.9000     16.5740    40.9420  
179       1          0.2528    1.5140     15.7660    40.6380  
180       2         -0.4105    2.0980     16.5210    40.3460  
181       1          0.2528    12.5040   -0.0010     47.5250  
182       1          0.2528    10.8870   -0.0010     47.7510  
183       2         -0.4105    11.6970    0.5760     47.6500  
184       1          0.2528    14.2040   -0.0010     22.0310  
185       1          0.2528    14.5840    1.0350     23.2340  
186       2         -0.4105    14.3210    0.0950     23.0190  
187       1          0.2528    11.8110    20.6250    49.9130  
188       1          0.2528    13.2150    20.9480    49.1460  
189       2         -0.4105    12.3040    21.2970    49.3610  
190       1          0.2528    12.3000    9.0550     49.6090  
191       1          0.2528    12.7900    7.5470     50.0000  
192       2         -0.4105    13.0880    8.4420     49.6680  
193       1          0.2528    10.0990    7.7180     44.5440  
194       1          0.2528    10.9320    8.7540     45.4930  
195       2         -0.4105    10.2650    8.6820     44.7520  
196       1          0.2528    14.8160    5.3510     27.5430  
197       1          0.2528    13.2840    4.8690     27.2500  
198       2         -0.4105    13.9030    5.6530     27.2700  
199       1          0.2528    2.6350     2.8770     16.9170  
200       1          0.2528    1.0500     3.2570     17.0200  
201       2         -0.4105    1.9390     3.3390     17.4680  
202       1          0.2528    15.8930    17.1500    41.7390  
203       1          0.2528    16.0280    15.7110    40.9790  
204       2         -0.4105    15.6630    16.1780    41.7840  
205       1          0.2528    8.4840     6.4770     26.0340  
206       1          0.2528    8.4620     6.8070     27.6330  
207       2         -0.4105    8.8720     7.0510     26.7550  
208       1          0.2528    19.6640    4.4170     29.3330  
209       1          0.2528    19.6640    3.5800     30.7350  
210       2         -0.4105    20.2050    4.1710     30.1370  
211       1          0.2528    9.0640     14.5960    12.3080  
212       1          0.2528    10.4350    13.7520    12.0320  
213       2         -0.4105    10.0310    14.6660    12.0630  
214       1          0.2528    9.0010     7.4920     34.1190  
215       1          0.2528    9.3800     6.6960     32.7440  
216       2         -0.4105    9.7510     7.1390     33.5600  
217       1          0.2528    0.6180     21.6200    49.4470  
218       1          0.2528    0.3770     20.0500    49.0690  
219       2         -0.4105    1.0640     20.7680    49.1720  
220       1          0.2528    7.7580     5.2170     40.2620  
221       1          0.2528    8.6530     4.5230     39.0850  
222       2         -0.4105    7.9200     4.3740     39.7470  
223       1          0.2528    0.1230     2.1140     19.3600  
224       1          0.2528    0.6150     3.6640     19.5100  
225       2         -0.4105   -0.0940     3.0050     19.7590  
226       1          0.2528    2.6440     2.2300     41.9370  
227       1          0.2528    3.0980     0.6610     41.9440  
228       2         -0.4105    3.4130     1.6020     42.0630  
229       1          0.2528    13.6860    17.9730    48.2320  
230       1          0.2528    12.3390    18.8870    48.0980  
231       2         -0.4105    12.7730    18.1420    48.6030  
232       1          0.2528    5.7960     3.0160     24.4760  
233       1          0.2528    7.4020     3.2890     24.3650  
234       2         -0.4105    6.5050     3.7210     24.4550  
235       1          0.2528    4.7530     14.7510    33.3370  
236       1          0.2528    5.3370     15.7650    34.4770  
237       2         -0.4105    5.4320     14.8600    34.0640  
238       1          0.2528    1.9170     12.9790    14.3910  
239       1          0.2528    2.9840     13.2990    13.1970  
240       2         -0.4105    2.4980     13.6820    13.9810  
241       1          0.2528    -0.0000    4.2770     42.0820  
242       1          0.2528    0.2390     2.8060     42.7490  
243       2         -0.4105    0.6860     3.6460     42.4430  
244       1          0.2528    8.7310     16.7500    48.3690  
245       1          0.2528    7.7240     15.4880    48.1250  
246       2         -0.4105    7.9120     16.2820    48.7020  
247       1          0.2528    5.9190     12.3850    34.9190  
248       1          0.2528    7.3870     13.0970    34.9790  
249       2         -0.4105    6.6520     12.7920    34.3740  
250       1          0.2528    14.4480    18.9140    45.2660  
251       1          0.2528    12.8170    18.9240    45.1990  
252       2         -0.4105    13.6080    18.8000    45.7970  
253       1          0.2528    4.4920     4.2980     43.3020  
254       1          0.2528    2.8980     4.4620     42.9890  
255       2         -0.4105    3.7720     4.9430     43.0450  
256       1          0.2528    11.9940    3.3280     12.1580  
257       1          0.2528    12.0390    4.9000     12.6010  
258       2         -0.4105    12.3830    4.2260     11.9480  
259       1          0.2528    12.4700    15.2520    39.6850  
260       1          0.2528    11.7590    15.4040    41.1470  
261       2         -0.4105    12.6330    15.3330    40.6690  
262       1          0.2528    17.3560    16.5690    32.8390  
263       1          0.2528    18.6250    15.6090    33.2040  
264       2         -0.4105    18.0540    16.3630    33.5250  
265       1          0.2528    14.6690    8.4120     16.0450  
266       1          0.2528    15.7010    9.6640     15.8620  
267       2         -0.4105    15.3760    8.9600     16.4930  
268       1          0.2528    18.4380    7.2310     49.4510  
269       1          0.2528    19.5520    6.0380     49.3920  
270       2         -0.4105    18.5750    6.2400     49.4460  
271       1          0.2528    4.0970     3.8840     14.4180  
272       1          0.2528    4.1670     2.2530     14.4130  
273       2         -0.4105    4.7090     3.0930     14.4190  
274       1          0.2528    -0.0000    14.9050    19.6480  
275       1          0.2528    -0.0000    16.1970    20.6460  
276       2         -0.4105    0.3240     15.2600    20.5250  
277       1          0.2528    13.9480    19.4660    29.7130  
278       1          0.2528    12.4580    18.7990    29.7510  
279       2         -0.4105    13.0070    19.5860    30.0290  
280       1          0.2528    1.2680     3.5380     49.9990  
281       1          0.2528    1.6590     1.9520     50.0000  
282       2         -0.4105    1.1220     2.6610     50.4570  
283       1          0.2528    13.7720    8.1950     21.6810  
284       1          0.2528    12.3260    7.7740     22.3120  
285       2         -0.4105    13.3040    7.8630     22.5000  
286       1          0.2528    8.5760     6.5390     36.3050  
287       1          0.2528    9.6030     5.5630     37.1170  
288       2         -0.4105    9.5340     6.3790     36.5440  
289       1          0.2528    2.4210     9.1340     34.3790  
290       1          0.2528    0.7880     9.1330     34.4080  
291       2         -0.4105    1.6140     9.1770     34.9690  
292       1          0.2528    15.7900    18.6420    28.3390  
293       1          0.2528    16.3960    17.5010    27.3390  
294       2         -0.4105    16.5030    17.9500    28.2260  
295       1          0.2528    18.3180    6.1550     38.3350  
296       1          0.2528    16.9110    5.3450     38.5130  
297       2         -0.4105    17.3480    6.2420     38.5650  
298       1          0.2528    8.5770     11.4740    25.3760  
299       1          0.2528    9.2930     12.0380    26.7310  
300       2         -0.4105    8.9940     12.2740    25.8070  
301       1          0.2528    19.6670    7.6720     9.9990   
302       1          0.2528    19.6550    6.0390     10.0200  
303       2         -0.4105    20.1260    6.8560     10.3510  
304       1          0.2528    9.4780     21.3610    13.3800  
305       1          0.2528    8.1730     21.6230    14.3260  
306       2         -0.4105    9.1690     21.6900    14.2720  
307       1          0.2528    9.9550     17.8190    26.9970  
308       1          0.2528    10.1080    18.2060    28.5760  
309       2         -0.4105    9.5900     18.3810    27.7400  
