# water and pfoah on sio2 slab

7124 atoms
6    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa

Atoms

162    2      0      31.302  39.315  26.567 
163    1      0      31.492  20.035  12.808 
164    1      0      29.92   20.315  12.464 
165    2      0      30.585  19.62   12.736 
166    1      0      26.722  9.031   43.097 
167    1      0      27.062  7.737   42.161 
168    2      0      27.282  8.207   43.015 
169    1      0      10.785  4.423   44.75  
170    1      0      10.87   6.041   44.952 
171    2      0      10.257  5.252   44.932 
172    1      0      38.265  13.04   32.231 
173    1      0      36.924  12.587  31.416 
174    2      0      37.627  13.292  31.503 
175    1      0      29.313  17.071  15.304 
176    1      0      30.9    17.439  15.422 
177    2      0      29.981  17.816  15.319 
178    1      0      21.077  12.306  12.728 
179    1      0      21.966  12.605  14.065 
180    2      0      21.399  11.928  13.596 
181    1      0      18.088  1.24    36.16  
182    1      0      19.71   1.246   35.972 
183    2      0      18.893  1.819   36.033 
184    1      0      6.222   33.563  19.692 
185    1      0      6.972   34.439  18.536 
186    2      0      6.282   34.463  19.259 
187    1      0      3.453   8.247   20.883 
188    1      0      3.832   8.239   19.295 
189    2      0      4.176   8.422   20.215 
190    1      0      28.245  29.315  34.141 
191    1      0      27.865  28.03   35.074 
192    2      0      27.494  28.777  34.523 
193    1      0      16.853  26.927  48.804 
194    1      0      15.558  27.526  48.009 
195    2      0      16.506  27.225  47.914 
196    1      0      20.122  23.961  27.602 
197    1      0      21.648  23.379  27.61  
198    2      0      21.091  24.209  27.61  
199    1      0      25.316  1.417   16.957 
200    1      0      23.762  0.936   16.818 
201    2      0      24.682  0.656   17.091 
202    1      0      23.723  14.801  39.821 
203    1      0      22.22   14.163  39.871 
204    2      0      23.196  13.95   39.844 
205    1      0      20.752  -0.0    37.766 
206    1      0      19.131  -0.001  37.964 
207    2      0      19.99   -0.414  38.265 
208    1      0      17.974  43.027  16.405 
209    1      0      18.847  42.752  17.757 
210    2      0      18.109  43.295  17.359 
211    1      0      35.61   25.598  30.025 
212    1      0      35.366  23.983  30.027 
213    2      0      35.401  24.804  30.596 
214    1      0      35.333  42.497  39.664 
215    1      0      36.911  42.62   40.063 
216    2      0      36.027  43.085  40.08  
217    1      0      33.53   15.549  20.168 
218    1      0      34.99   14.842  20.362 
219    2      0      34.104  15.016  20.79  
220    1      0      13.112  10.78   46.598 
221    1      0      11.809  11.195  47.491 
222    2      0      12.13   10.637  46.727 
223    1      0      7.855   8.374   39.053 
224    1      0      7.306   9.784   39.666 
225    2      0      8.123   9.25    39.453 
226    1      0      33.609  15.209  34.31  
227    1      0      33.477  16.481  33.294 
228    2      0      33.162  16.091  34.159 
229    1      0      16.231  39.677  16.361 
230    1      0      16.899  40.969  17.104 
231    2      0      16.872  40.437  16.258 
232    1      0      37.222  7.16    39.436 
233    1      0      36.858  6.014   40.541 
234    2      0      37.572  6.369   39.938 
235    1      0      9.866   40.882  40.996 
236    1      0      9.751   39.666  39.912 
237    2      0      9.525   40.623  40.092 
238    1      0      18.19   35.515  10.0   
239    1      0      18.756  33.984  10.044 
240    2      0      17.938  34.554  10.116 
241    1      0      6.134   2.339   29.859 
242    1      0      7.659   2.348   30.443 
243    2      0      7.102   2.405   29.615 
244    1      0      22.369  -0.0    44.504 
245    1      0      23.766  0.25    43.697 
246    2      0      23.32   0.296   44.59  
247    1      0      25.706  8.537   24.649 
248    1      0      25.103  7.031   24.839 
249    2      0      25.772  7.692   25.179 
250    1      0      37.185  21.199  42.193 
251    1      0      38.682  21.851  42.202 
252    2      0      38.129  21.081  41.885 
253    1      0      1.785   40.771  10.527 
254    1      0      3.112   41.695  10.754 
255    2      0      2.113   41.685  10.768 
256    1      0      8.034   7.639   35.012 
257    1      0      9.584   7.22    35.314 
258    2      0      8.665   6.872   35.132 
259    1      0      1.928   30.156  20.52  
260    1      0      0.338   29.825  20.351 
261    2      0      1.262   29.545  20.093 
262    1      0      39.328  23.329  46.993 
263    1      0      38.875  21.787  46.703 
264    2      0      38.644  22.627  47.193 
265    1      0      13.311  23.721  18.697 
266    1      0      13.677  25.307  18.83  
267    2      0      13.268  24.61   18.241 
268    1      0      5.044   35.527  39.035 
269    1      0      3.578   35.83   38.381 
270    2      0      4.514   36.167  38.477 
271    1      0      13.863  27.566  38.858 
272    1      0      13.361  26.249  39.683 
273    2      0      13.085  27.137  39.317 
274    1      0      19.309  13.697  13.853 
275    1      0      17.798  13.882  13.262 
276    2      0      18.439  13.237  13.677 
277    1      0      22.939  1.804   10.164 
278    1      0      24.559  1.687   10.0   
279    2      0      23.716  1.175   10.163 
280    1      0      12.952  19.237  11.825 
281    1      0      13.496  20.775  11.741 
282    2      0      13.3    20.01   12.355 
283    1      0      9.472   7.97    45.585 
284    1      0      8.129   7.392   46.313 
285    2      0      8.51    7.729   45.453 
286    1      0      34.165  21.291  11.722 
287    1      0      35.672  21.746  11.289 
288    2      0      34.872  21.99   11.835 
289    1      0      22.434  14.307  9.999  
290    1      0      20.869  14.774  9.998  
291    2      0      21.535  14.15   10.407 
292    1      0      23.287  27.532  11.3   
293    1      0      24.803  27.527  10.692 
294    2      0      23.985  26.974  10.851 
295    1      0      11.3    41.395  43.137 
296    1      0      10.749  42.885  43.515 
297    2      0      11.562  42.347  43.295 
298    1      0      1.622   39.191  14.385 
299    1      0      0.873   40.361  13.527 
300    2      0      0.891   39.874  14.4   
301    1      0      3.38    11.14   47.909 
302    1      0      3.728   9.974   48.999 
303    2      0      3.492   10.155  48.044 
304    1      0      34.182  16.495  49.669 
305    1      0      33.974  17.036  48.142 
306    2      0      34.408  16.336  48.707 
307    1      0      6.846   31.739  39.518 
308    1      0      7.863   30.596  40.089 
309    2      0      6.928   30.779  39.787 
310    1      0      24.333  24.374  32.48  
311    1      0      24.608  25.194  31.095 
312    2      0      24.648  25.24   32.093 
313    1      0      35.829  13.134  14.765 
314    1      0      34.488  14.032  14.515 
315    2      0      34.837  13.104  14.643 
316    1      0      10.039  4.974   36.142 
317    1      0      8.95    5.42    37.274 
318    2      0      9.903   5.497   36.983 
319    1      0      26.248  12.547  14.88  
320    1      0      26.26   10.952  14.528 
321    2      0      25.814  11.826  14.339 
322    1      0      36.214  14.737  12.769 
323    1      0      37.581  14.21   13.489 
324    2      0      36.969  14.991  13.374 
325    1      0      27.904  11.833  21.032 
326    1      0      26.463  11.828  20.265 
327    2      0      26.943  11.567  21.102 
328    1      0      13.302  16.735  38.469 
329    1      0      14.543  17.667  38.977 
330    2      0      13.724  17.639  38.405 
331    1      0      31.194  36.776  24.126 
332    1      0      31.017  35.153  24.102 
333    2      0      30.532  36.026  24.105 
334    1      0      16.399  11.914  13.418 
335    1      0      17.034  10.897  12.31  
336    2      0      17.085  11.203  13.259 
337    1      0      28.706  3.011   27.16  
338    1      0      28.001  2.131   28.341 
339    2      0      27.833  2.706   27.541 
340    1      0      16.864  19.131  45.183 
341    1      0      16.451  17.81   44.316 
342    2      0      17.115  18.189  44.96  
343    1      0      38.507  2.886   34.806 
344    1      0      39.227  1.475   35.203 
345    2      0      39.275  2.469   35.292 
346    1      0      8.199   12.905  26.085 
347    1      0      8.748   13.954  27.21  
348    2      0      8.015   13.315  26.979 
349    1      0      15.652  29.538  37.877 
350    1      0      14.763  30.73   37.201 
351    2      0      14.903  30.183  38.027 
352    1      0      11.573  39.005  32.411 
353    1      0      10.342  37.958  32.645 
354    2      0      10.76   38.594  31.997 
355    1      0      31.096  23.163  37.377 
356    1      0      32.022  24.435  37.817 
357    2      0      31.826  23.47   37.989 
358    1      0      21.174  40.152  43.387 
359    1      0      22.442  41.178  43.301 
360    2      0      21.52   41.049  43.665 
361    1      0      36.371  38.941  48.081 
362    1      0      35.624  40.39   48.002 
363    2      0      36.509  39.928  47.997 
364    1      0      14.709  21.095  47.716 
365    1      0      15.919  20.054  48.063 
366    2      0      15.089  20.19   47.523 
367    1      0      11.994  3.004   33.923 
368    1      0      13.045  1.848   34.4   
369    2      0      12.756  2.795   34.537 
370    1      0      8.01    5.654   20.3   
371    1      0      8.94    5.111   21.527 
372    2      0      8.112   5.619   21.294 
373    1      0      38.357  22.372  39.851 
374    1      0      37.876  21.54   38.531 
375    2      0      38.528  22.213  38.878 
376    1      0      19.773  34.161  50.0   
377    1      0      21.397  34.334  50.0   
378    2      0      20.646  33.674  50.0   
379    1      0      29.266  15.918  44.524 
380    1      0      27.879  16.762  44.7   
381    2      0      28.28   15.911  44.361 
382    1      0      -0.0    19.919  17.248 
383    1      0      0.678   20.91   18.355 
384    2      0      -0.172  20.669  17.888 
385    1      0      20.483  33.217  15.048 
386    1      0      21.329  33.229  13.652 
387    2      0      20.977  33.793  14.398 
388    1      0      28.62   10.08   18.295 
389    1      0      28.847  11.628  18.763 
390    2      0      28.264  10.823  18.863 
391    1      0      13.412  22.423  14.69  
392    1      0      12.523  22.429  13.32  
393    2      0      13.443  22.323  13.695 
394    1      0      39.328  32.171  18.309 
395    1      0      38.956  31.177  19.55  
396    2      0      39.116  32.127  19.285 
397    1      0      17.759  35.971  45.658 
398    1      0      16.443  35.005  45.619 
399    2      0      17.44   35.024  45.688 
400    1      0      11.039  22.683  49.292 
401    1      0      11.253  21.16   49.839 
402    2      0      10.603  21.915  49.761 
403    1      0      31.326  32.477  16.102 
404    1      0      32.833  31.94   16.433 
405    2      0      31.922  31.674  16.118 
406    1      0      16.948  37.642  39.947 
407    1      0      18.462  37.039  40.055 
408    2      0      17.517  36.933  40.364 
409    1      0      13.281  37.356  43.962 
410    1      0      13.502  35.738  43.961 
411    2      0      12.82   36.468  43.962 
412    1      0      24.295  17.997  28.067 
413    1      0      25.789  17.69   28.651 
414    2      0      24.919  18.147  28.834 
415    1      0      14.549  18.67   45.718 
416    1      0      15.525  17.871  46.756 
417    2      0      14.575  18.055  46.506 
418    1      0      31.04   27.689  22.682 
419    1      0      31.585  26.421  21.808 
420    2      0      31.513  27.417  21.843 
421    1      0      6.289   32.485  37.285 
422    1      0      7.552   33.52   37.283 
423    2      0      6.594   33.402  37.542 
424    1      0      1.821   3.694   33.706 
425    1      0      1.056   2.497   34.512 
426    2      0      1.916   2.772   34.082 
427    1      0      7.211   25.548  17.796 
428    1      0      6.384   26.952  17.901 
429    2      0      7.279   26.522  18.013 
430    1      0      35.718  1.939   39.021 
431    1      0      36.827  2.457   40.103 
432    2      0      36.307  2.703   39.286 
433    1      0      11.396  15.088  37.509 
434    1      0      10.156  14.1    37.899 
435    2      0      11.147  14.223  37.945 
436    1      0      2.829   20.656  14.374 
437    1      0      4.003   21.096  15.42  
438    2      0      3.383   20.36   15.152 
439    1      0      19.598  43.243  46.926 
440    1      0      18.209  43.243  46.067 
441    2      0      18.796  43.783  46.669 
442    1      0      15.651  30.156  41.341 
443    1      0      14.761  31.032  40.288 
444    2      0      14.828  30.16   40.773 
445    1      0      11.847  8.236   31.114 
446    1      0      10.341  8.852   31.251 
447    2      0      11.039  8.296   31.701 
448    1      0      13.067  15.979  40.756 
449    1      0      14.185  16.658  41.734 
450    2      0      13.522  16.834  41.007 
451    1      0      2.026   40.234  39.761 
452    1      0      2.077   41.083  41.155 
453    2      0      1.526   40.464  40.596 
454    1      0      11.731  18.197  30.068 
455    1      0      13.36   18.171  29.955 
456    2      0      12.526  17.631  29.848 
457    1      0      6.543   16.954  43.629 
458    1      0      4.939   16.678  43.761 
459    2      0      5.847   16.269  43.843 
460    1      0      9.794   20.865  31.735 
461    1      0      10.401  19.349  31.729 
462    2      0      9.75    19.965  32.171 
463    1      0      12.715  32.214  39.588 
464    1      0      11.751  33.449  40.05  
465    2      0      12.113  32.946  39.266 
466    1      0      27.857  2.915   14.888 
467    1      0      29.238  2.809   15.752 
468    2      0      28.822  3.174   14.92  
469    1      0      31.065  13.61   49.627 
470    1      0      31.055  12.02   50.0   
471    2      0      30.54   12.761  49.57  
472    1      0      34.94   36.769  43.509 
473    1      0      34.36   36.869  41.986 
474    2      0      34.685  37.394  42.771 
475    1      0      34.32   4.548   30.558 
476    1      0      34.522  3.707   29.173 
477    2      0      34.156  3.673   30.102 
478    1      0      1.159   4.41    38.748 
479    1      0      1.62    2.846   38.835 
480    2      0      0.844   3.472   38.897 
481    1      0      39.328  36.357  40.603 
482    1      0      38.881  37.927  40.599 
483    2      0      39.656  37.3    40.666 
484    1      0      24.158  37.992  22.901 
485    1      0      25.489  37.047  22.945 
486    2      0      25.154  37.988  22.985 
487    1      0      21.736  38.94   38.962 
488    1      0      21.618  40.569  38.957 
489    2      0      21.102  39.713  38.951 
490    1      0      19.571  16.771  33.464 
491    1      0      20.989  17.55   33.689 
492    2      0      20.037  17.483  33.989 
493    1      0      3.097   28.945  15.095 
494    1      0      4.681   28.645  14.835 
495    2      0      3.793   28.782  14.396 
496    1      0      32.015  32.722  32.062 
497    1      0      31.296  34.188  32.084 
498    2      0      31.137  33.201  32.078 
499    1      0      17.795  13.5    22.454 
500    1      0      18.729  14.82   22.685 
501    2      0      18.173  14.319  22.022 
502    1      0      26.613  14.239  12.327 
503    1      0      25.592  15.485  12.059 
504    2      0      25.667  14.552  12.41  
505    1      0      14.776  18.033  33.795 
506    1      0      15.205  19.593  34.02  
507    2      0      14.562  18.877  34.289 
508    1      0      36.998  11.92   10.0   
509    1      0      37.004  12.306  11.587 
510    2      0      36.582  11.728  10.889 
511    1      0      20.273  14.198  37.475 
512    1      0      20.153  12.723  38.166 
513    2      0      19.654  13.438  37.678 
514    1      0      6.008   5.604   15.108 
515    1      0      5.376   6.543   13.931 
516    2      0      5.576   6.484   14.908 
517    1      0      20.483  38.722  19.635 
518    1      0      19.059  37.924  19.698 
519    2      0      20.053  37.822  19.714 
520    1      0      6.594   39.83   14.021 
521    1      0      5.131   39.823  13.295 
522    2      0      5.932   40.38   13.51  
523    1      0      6.649   42.836  37.757 
524    1      0      5.746   41.618  37.151 
525    2      0      6.671   41.989  37.226 
526    1      0      2.783   2.298   36.307 
527    1      0      2.616   0.7     36.6   
528    2      0      2.133   1.572   36.532 
529    1      0      11.522  41.181  35.627 
530    1      0      12.973  40.922  36.329 
531    2      0      12.408  41.59   35.845 
532    1      0      37.106  12.49   28.525 
533    1      0      37.843  13.947  28.494 
534    2      0      37.94   12.978  28.268 
535    1      0      18.979  11.419  33.419 
536    1      0      20.549  11.394  32.968 
537    2      0      19.791  11.98   33.254 
538    1      0      18.116  23.8    36.343 
539    1      0      18.972  23.466  37.693 
540    2      0      18.146  23.246  37.176 
541    1      0      34.47   35.337  48.72  
542    1      0      35.908  35.571  47.981 
543    2      0      34.975  35.233  47.862 
544    1      0      9.998   7.517   10.94  
545    1      0      9.675   6.191   10.045 
546    2      0      10.278  6.982   10.143 
547    1      0      1.204   13.276  24.391 
548    1      0      0.357   12.228  23.469 
549    2      0      0.299   13.053  24.028 
550    1      0      20.482  34.488  44.873 
551    1      0      19.672  33.164  44.366 
552    2      0      20.564  33.517  44.65  
553    1      0      8.817   29.783  37.268 
554    1      0      8.629   31.374  37.583 
555    2      0      8.156   30.498  37.496 
556    1      0      1.431   35.85   18.947 
557    1      0      -0.002  35.196  18.518 
558    2      0      0.618   35.967  18.377 
559    1      0      8.777   13.347  40.915 
560    1      0      8.318   13.943  39.466 
561    2      0      8.346   14.12   40.449 
562    1      0      20.347  43.243  15.923 
563    1      0      20.54   43.243  14.301 
564    2      0      20.743  43.735  15.147 
565    1      0      28.484  27.495  23.391 
566    1      0      28.531  28.354  24.779 
567    2      0      28.926  28.256  23.866 
568    1      0      9.245   8.193   41.685 
569    1      0      10.399  7.316   40.933 
570    2      0      9.565   7.851   40.802 
571    1      0      2.937   13.067  46.514 
572    1      0      3.017   14.668  46.205 
573    2      0      3.533   13.87   46.515 
574    1      0      6.823   15.324  20.153 
575    1      0      5.986   13.954  19.856 
576    2      0      6.761   14.345  20.35  
577    1      0      3.687   6.778   12.11  
578    1      0      4.249   5.354   11.54  
579    2      0      3.455   5.96    11.582 
580    1      0      5.493   38.574  46.086 
581    1      0      5.812   40.165  45.899 
582    2      0      6.218   39.255  45.981 
583    1      0      23.891  4.532   26.477 
584    1      0      23.234  3.037   26.486 
585    2      0      24.091  3.552   26.493 
586    1      0      20.359  15.722  39.353 
587    1      0      19.631  14.371  39.911 
588    2      0      19.479  15.274  39.513 
589    1      0      15.685  20.824  25.269 
590    1      0      17.23   20.315  25.413 
591    2      0      16.611  21.089  25.54  
592    1      0      16.819  21.223  37.14  
593    1      0      16.514  19.674  37.561 
594    2      0      16.106  20.574  37.408 
595    1      0      19.22   30.87   25.624 
596    1      0      19.978  32.28   25.951 
597    2      0      20.099  31.294  25.843 
598    1      0      -0.001  10.324  36.73  
599    1      0      0.927   10.266  35.387 
600    2      0      -0.007  10.36   35.731 
601    1      0      19.662  40.165  26.241 
602    1      0      20.663  41.451  26.14  
603    2      0      19.84   41.09   26.577 
604    1      0      7.576   37.849  34.393 
605    1      0      6.661   39.201  34.368 
606    2      0      6.913   38.376  33.862 
607    1      0      19.564  12.03   19.559 
608    1      0      19.668  12.68   21.054 
609    2      0      19.304  12.809  20.132 
610    1      0      10.673  24.189  26.273 
611    1      0      12.192  23.626  26.071 
612    2      0      11.454  24.152  25.649 
613    1      0      18.266  7.437   42.052 
614    1      0      19.151  8.795   41.852 
615    2      0      19.004  7.995   42.432 
616    1      0      35.308  27.241  28.191 
617    1      0      36.88   26.829  28.353 
618    2      0      36.251  27.563  28.101 
619    1      0      12.563  6.7     50.0   
620    1      0      13.59   7.948   49.768 
621    2      0      12.669  7.692   50.061 
622    1      0      -0.006  14.753  45.451 
623    1      0      -0.007  14.834  43.82  
624    2      0      -0.568  14.662  44.63  
625    1      0      12.926  3.274   31.706 
626    1      0      14.358  3.966   31.336 
627    2      0      13.366  4.07    31.29  
628    1      0      25.295  42.361  35.37  
