# sio2 slab  100 facet  4x4x1 supercell made from premitive cell, mp-??????

320 atoms
2   atom types

Masses

1 28.0855
2 15.9994

Atoms

152	2	0	7.98	17.37	1.99
153	2	0	12.90	1.16	1.99
154	2	0	12.90	6.56	1.99
155	2	0	12.90	11.97	1.99
156	2	0	12.90	17.37	1.99
157	2	0	17.82	1.16	1.99
158	2	0	17.82	6.56	1.99
159	2	0	17.82	11.97	1.99
160	2	0	17.82	17.37	1.99
161	2	0	1.18	2.45	3.25
162	2	0	1.18	7.85	3.25
163	2	0	1.18	13.26	3.25
164	2	0	1.18	18.66	3.25
165	2	0	6.09	2.45	3.25
166	2	0	6.09	7.85	3.25
167	2	0	6.09	13.26	3.25
168	2	0	6.09	18.66	3.25
169	2	0	11.01	2.45	3.25
170	2	0	11.01	7.85	3.25
171	2	0	11.01	13.26	3.25
172	2	0	11.01	18.66	3.25
173	2	0	15.92	2.45	3.25
174	2	0	15.92	7.85	3.25
175	2	0	15.92	13.26	3.25
176	2	0	15.92	18.66	3.25
177	2	0	3.44	4.76	0.09
178	2	0	3.44	10.17	0.09
179	2	0	3.44	15.57	0.09
180	2	0	3.44	20.98	0.09
181	2	0	8.35	4.76	0.09
182	2	0	8.35	10.17	0.09
183	2	0	8.35	15.57	0.09
184	2	0	8.35	20.98	0.09
185	2	0	13.27	4.76	0.09
186	2	0	13.27	10.17	0.09
187	2	0	13.27	15.57	0.09
188	2	0	13.27	20.98	0.09
189	2	0	18.18	4.76	0.09
190	2	0	18.18	10.17	0.09
191	2	0	18.18	15.57	0.09
192	2	0	18.18	20.98	0.09
193	2	0	3.29	0.64	5.51
194	2	0	3.29	6.05	5.51
195	2	0	3.29	11.45	5.51
196	2	0	3.29	16.86	5.51
197	2	0	8.21	0.64	5.51
198	2	0	8.21	6.05	5.51
199	2	0	8.21	11.45	5.51
200	2	0	8.21	16.86	5.51
201	2	0	13.13	0.64	5.51
202	2	0	13.13	6.05	5.51
203	2	0	13.13	11.45	5.51
204	2	0	13.13	16.86	5.51
205	2	0	18.04	0.64	5.51
206	2	0	18.04	6.05	5.51
207	2	0	18.04	11.45	5.51
208	2	0	18.04	16.86	5.51
209	2	0	4.33	2.96	4.81
210	2	0	4.33	8.37	4.81
211	2	0	4.33	13.77	4.81
212	2	0	4.33	19.18	4.81
213	2	0	9.25	2.96	4.81
214	2	0	9.25	8.37	4.81
215	2	0	9.25	13.77	4.81
216	2	0	9.25	19.18	4.81
217	2	0	14.16	2.96	4.81
218	2	0	14.16	8.37	4.81
219	2	0	14.16	13.77	4.81
220	2	0	14.16	19.18	4.81
221	2	0	19.08	2.96	4.81
222	2	0	19.08	8.37	4.81
223	2	0	19.08	13.77	4.81
224	2	0	19.08	19.18	4.81
225	2	0	2.01	4.25	6.95
226	2	0	2.01	9.65	6.95
227	2	0	2.01	15.06	6.95
228	2	0	2.01	20.46	6.95
229	2	0	6.92	4.25	6.95
230	2	0	6.92	9.65	6.95
231	2	0	6.92	15.06	6.95
232	2	0	6.92	20.46	6.95
233	2	0	11.84	4.25	6.95
234	2	0	11.84	9.65	6.95
235	2	0	11.84	15.06	6.95
236	2	0	11.84	20.46	6.95
237	2	0	16.75	4.25	6.95
238	2	0	16.75	9.65	6.95
239	2	0	16.75	15.06	6.95
240	2	0	16.75	20.46	6.95
241	2	0	0.89	1.16	6.40
242	2	0	0.89	6.56	6.40
243	2	0	0.89	11.97	6.40
244	2	0	0.89	17.37	6.40
245	2	0	5.80	1.16	6.40
246	2	0	5.80	6.56	6.40
247	2	0	5.80	11.97	6.40
248	2	0	5.80	17.37	6.40
249	2	0	10.72	1.16	6.40
250	2	0	10.72	6.56	6.40
251	2	0	10.72	11.97	6.40
252	2	0	10.72	17.37	6.40
253	2	0	15.64	1.16	6.40
254	2	0	15.64	6.56	6.40
255	2	0	15.64	11.97	6.40
256	2	0	15.64	17.37	6.40
257	2	0	3.90	2.45	7.34
258	2	0	3.90	7.85	7.34
259	2	0	3.90	13.26	7.34
260	2	0	3.90	18.66	7.34
261	2	0	8.82	2.45	7.34
262	2	0	8.82	7.85	7.34
263	2	0	8.82	13.26	7.34
264	2	0	8.82	18.66	7.34
265	2	0	13.73	2.45	7.34
266	2	0	13.73	7.85	7.34
267	2	0	13.73	13.26	7.34
268	2	0	13.73	18.66	7.34
269	2	0	18.65	2.45	7.34
270	2	0	18.65	7.85	7.34
271	2	0	18.65	13.26	7.34
272	2	0	18.65	18.66	7.34
273	2	0	1.26	4.76	4.50
274	2	0	1.26	10.17	4.50
275	2	0	1.26	15.57	4.50
276	2	0	1.26	20.98	4.50
277	2	0	6.17	4.76	4.50
278	2	0	6.17	10.17	4.50
279	2	0	6.17	15.57	4.50
280	2	0	6.17	20.98	4.50
281	2	0	11.09	4.76	4.50
282	2	0	11.09	10.17	4.50
283	2	0	11.09	15.57	4.50
284	2	0	11.09	20.98	4.50
285	2	0	16.00	4.76	4.50
286	2	0	16.00	10.17	4.50
287	2	0	16.00	15.57	4.50
288	2	0	16.00	20.98	4.50
289	2	0	2.15	2.96	9.22
290	2	0	2.15	8.37	9.22
291	2	0	2.15	13.77	9.22
292	2	0	2.15	19.18	9.22
293	2	0	7.07	2.96	9.22
294	2	0	7.07	8.37	9.22
295	2	0	7.07	13.77	9.22
296	2	0	7.07	19.18	9.22
297	2	0	11.98	2.96	9.22
298	2	0	11.98	8.37	9.22
299	2	0	11.98	13.77	9.22
300	2	0	11.98	19.18	9.22
301	2	0	16.90	2.96	9.22
302	2	0	16.90	8.37	9.22
303	2	0	16.90	13.77	9.22
304	2	0	16.90	19.18	9.22
305	2	0	3.98	4.76	8.59
306	2	0	3.98	10.17	8.59
307	2	0	3.98	15.57	8.59
308	2	0	3.98	20.98	8.59
309	2	0	8.90	4.76	8.59
310	2	0	8.90	10.17	8.59
311	2	0	8.90	15.57	8.59
312	2	0	8.90	20.98	8.59
313	2	0	13.81	4.76	8.59
314	2	0	13.81	10.17	8.59
315	2	0	13.81	15.57	8.59
316	2	0	13.81	20.98	8.59
317	2	0	18.73	4.76	8.59
318	2	0	18.73	10.17	8.59
319	2	0	18.73	15.57	8.59
320	2	0	18.73	20.98	8.59
